date,truth,lstm_pred
2018-03-25,340822.0,350449.9296875
2018-03-26,361411.0,361482.712890625
2018-03-27,355959.0,356808.84912109375
2018-03-28,336093.0,349404.03369140625
2018-03-29,329962.0,334041.9465332031
2018-03-30,315710.0,326399.04150390625
2018-03-31,314954.0,302943.5390625
2018-04-01,293306.0,308424.087890625
2018-04-02,340887.0,330500.46875
2018-04-03,338604.0,353125.9248046875
2018-04-04,344124.0,342799.3662109375
2018-04-05,362570.0,361583.716796875
2018-04-06,343354.0,351509.6552734375
2018-04-07,343202.0,308650.52734375
2018-04-08,339525.0,340243.11669921875
2018-04-09,373844.0,368458.203125
2018-04-10,361992.0,371119.6513671875
2018-04-11,339926.0,353289.4248046875
2018-04-12,326132.0,331824.50048828125
2018-04-13,313577.0,313786.150390625
2018-04-14,294034.0,283631.724609375
2018-04-15,294163.0,287777.96630859375
2018-04-16,355899.0,348380.078125
2018-04-17,379252.0,374960.849609375
2018-04-18,347182.0,375754.1931152344
2018-04-19,340972.0,334746.4150390625
2018-04-20,342226.0,334706.21875
2018-04-21,309700.0,307093.78125
2018-04-22,286784.0,287167.1171875
2018-04-23,315207.0,316191.2109375
2018-04-24,281370.0,322705.22119140625
2018-04-25,317392.0,284442.0244140625
2018-04-26,315787.0,330646.8125
2018-04-27,311136.0,306012.912109375
2018-04-28,293702.0,290928.361328125
2018-04-29,291763.0,292325.4035644531
2018-04-30,322644.0,320302.771484375
2018-05-01,318045.0,322983.0603942871
2018-05-02,327388.0,317328.81549072266
2018-05-03,341214.0,332438.67138671875
2018-05-04,329415.0,327690.7978515625
2018-05-05,285652.0,292008.31640625
2018-05-06,280322.0,278464.89794921875
2018-05-07,311340.0,324897.5
2018-05-08,319082.0,318521.947265625
2018-05-09,328530.0,322022.7917480469
2018-05-10,335838.0,331067.3303222656
2018-05-11,324604.0,319544.4326171875
2018-05-12,310630.0,291775.26953125
2018-05-13,307981.0,300279.0126953125
2018-05-14,360114.0,341006.92578125
2018-05-15,364123.0,366847.59423828125
2018-05-16,334210.0,356840.162109375
2018-05-17,347176.0,328900.5693359375
2018-05-18,328424.0,340547.091796875
2018-05-19,313060.0,292717.31640625
2018-05-20,316059.0,306728.2236328125
2018-05-21,353488.0,348568.80078125
2018-05-22,356571.0,358865.88720703125
2018-05-23,347750.0,355015.71533203125
2018-05-24,351750.0,347103.9520263672
2018-05-25,363291.0,344446.4794921875
2018-05-26,334508.0,339401.744140625
2018-05-27,340760.0,321954.28125
2018-05-28,361054.0,363314.2265625
2018-05-29,405705.0,399568.6640625
2018-05-30,403182.0,407070.73986816406
2018-05-31,401786.0,379848.1484375
2018-06-01,377632.0,370696.138671875
2018-06-02,341092.0,338284.43359375
2018-06-03,331791.0,331552.7392578125
2018-06-04,339060.0,358307.107421875
2018-06-05,330647.0,337795.70263671875
2018-06-06,322825.0,334572.046875
2018-06-07,345466.0,333311.55859375
2018-06-08,360961.0,349167.01708984375
2018-06-09,344637.0,341658.1484375
2018-06-10,332454.0,342818.5263671875
2018-06-11,348883.0,370828.76953125
2018-06-12,353857.0,357109.833984375
2018-06-13,373453.0,359108.20849609375
2018-06-14,372490.0,375973.5246582031
2018-06-15,374066.0,369264.7490234375
2018-06-16,367177.0,361212.869140625
2018-06-17,388221.0,373261.90771484375
2018-06-18,446178.0,427647.265625
2018-06-19,434078.0,445241.25311279297
2018-06-20,405651.0,418099.53515625
2018-06-21,373137.0,397232.34375
2018-06-22,366560.0,351713.986328125
2018-06-23,338479.0,335975.58984375
2018-06-24,346565.0,319893.125
2018-06-25,365644.0,370843.7734375
2018-06-26,361241.0,368588.10986328125
2018-06-27,368290.0,367661.16943359375
2018-06-28,394806.0,359099.2978515625
2018-06-29,412192.0,386954.5146484375
2018-06-30,402247.0,384799.146484375
2018-07-01,403171.0,392835.404296875
2018-07-02,420069.0,414865.1865234375
2018-07-03,422164.0,415435.7841796875
2018-07-04,408204.0,423100.89453125
2018-07-05,422616.0,428062.111328125
2018-07-06,377830.0,420993.9012451172
2018-07-07,326648.0,341667.04296875
2018-07-08,330449.0,329981.30615234375
2018-07-09,394256.0,382311.328125
2018-07-10,419744.0,414385.595703125
2018-07-11,401139.0,420843.7072753906
2018-07-12,391940.0,396762.10205078125
2018-07-13,405871.0,389692.8203125
2018-07-14,395721.0,384775.9921875
2018-07-15,391109.0,384905.669921875
2018-07-16,417601.0,417193.31640625
2018-07-17,415467.0,410907.88427734375
2018-07-18,379537.0,404846.0283203125
2018-07-19,381358.0,379194.9726867676
2018-07-20,367980.0,381314.2534942627
2018-07-21,331086.0,331220.87109375
